transformer_id,transformer,sector,transformer_code,description,variables_affected
0,Baseline,,TX:BASE,"Baseline transformation, which is applied to raw input data",
1,AGRC: Improve rice management,AF,TX:AGRC:DEC_CH4_RICE,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,
2,AGRC: Decrease demand for unhealthy crops,AF,TX:AGRC:DEC_DEMAND_FOR_UNHEALTHY_CROPS,,
3,AGRC: Decrease Exports,AF,TX:AGRC:DEC_EXPORTS,Decrease agricultural exports by 50% (relative to final time period),
4,AGRC: Reduce supply chain losses,AF,TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),
5,AGRC: Expand conservation agriculture,AF,TX:AGRC:INC_CONSERVATION_AGRICULTURE," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",
6,AGRC: Improve crop productivity,AF,TX:AGRC:INC_PRODUCTIVITY,Increase crop yield factors by 20%,
7,AGRC: Increase residue removal,AF,TX:AGRC:INC_RESIDUE_REMOVAL,"Unlike conservation agriculture, remove residues from croplands. However, does not coincide with no till agriciulture.",
8,LNDU: Stop deforestation,AF,TX:LNDU:DEC_DEFORESTATION,Halt deforestation of primary and secondary forests,
9,LNDU: Decrease deforestation and increase silvopasture at the same time,AF,TX:LNDU:DEC_DEFORESTATION_AND_INC_SILVOPASTURE,,
10,LNDU: Expand sustainable grazing practices,AF,TX:LNDU:DEC_SOC_LOSS_PASTURES," | Decrease soil organic carbon loss in grasslands through sustainable grazing practices
 | 
 | **Grasslands**: Increase :math:`F_{MG}` for ``grasslands`` to 1.157 (see V4, Chapter 6, Table 6.2 [2019R] for grasslands management factors :math:`F_{MG}` under different management regimes--mean of *Improved Grassland*)",
11,LNDU: Rehabilitate degraded land,AF,TX:LNDU:INC_LAND_REHABILITIATION,,
12,LNDU: Increase Reforestation,AF,TX:LNDU:INC_REFORESTATION,Increases probability of input land use classes being converted to ,
13,LNDU: Expand silvopasture,AF,TX:LNDU:INC_SILVOPASTURE,"Increase the use of silvopasture; modeled by shifting 30% of pasture (in final time period) to secondary forests over time; livestock carrying capacities increase to meet the change, while pasture fractions of grassland decrease.",
14,LSMM: Increase biogas capture at anaerobic decomposition facilities,AF,TX:LSMM:INC_CAPTURE_BIOGAS,Increase the fraction of biogas that is captured at manure treated at anaerobic livestock manure treatment facilities,
15,LSMM: Improve manure management for cattle and pigs,AF,TX:LSMM:INC_MANAGEMENT_CATTLE_PIGS," | 95% of manure from cattle (dairy and non-dairy) and pigs is treated. Under default conditions, the manure treated is sent to the following pathways:
 |    37.5% to Anaerobic Digestion
 |    12.5% to Composting
 |    25.0% to Daily Spread
 |    12.5% to Deep Bedding
 |    12.5% to Solid Storage",
16,LSMM: Improve manure management for other animals,AF,TX:LSMM:INC_MANAGEMENT_OTHER," | 95% of manure from all other animals is treated. The manure treated is sent to the following pathways:
 |    37.5.% to Composting
 |    12.5% to Dry Lot
 |    25.0% to Daily Spread
 |    25.0% to Solid Storage",
17,LSMM: Improve manure management for poultry,AF,TX:LSMM:INC_MANAGEMENT_POULTRY," | 95% of manure from poultry (chickens) and pigs is treated. The manure treated is sent to the following pathways:
 |    100% to Poultry Management",
18,LVST: Reduce enteric fermentation,AF,TX:LVST:DEC_ENTERIC_FERMENTATION,Reduce enteric fermentation,
19,LVST: Decrease exports,AF,TX:LVST:DEC_EXPORTS,Decrease exports of livestock and livestock products by 50% (relative to final time period),
20,LVST: Increase livestock productivity,AF,TX:LVST:INC_PRODUCTIVITY,Increase inferred livestock carrying capacity by 20%,
21,SOIL: Improve lime application,AF,TX:SOIL:DEC_LIME_APPLIED,Decrease lime applied to soils (default 5%),
22,SOIL: Improve fertilizer application,AF,TX:SOIL:DEC_N_APPLIED,Decrease total nitrogen applied  through more precise fertilizer use (default 5%),
23,TRWW: Increase biogas capture,CE,TX:TRWW:INC_CAPTURE_BIOGAS,,
24,TRWW: Increase septic compliance,CE,TX:TRWW:INC_COMPLIANCE_SEPTIC,,
25,WALI: Improved industrial wastewater treatment,CE,TX:WALI:INC_TREATMENT_INDUSTRIAL,,
26,WALI: Improved rural wastewater treatment,CE,TX:WALI:INC_TREATMENT_RURAL,,
27,WALI: Improved urban wastewater treatment,CE,TX:WALI:INC_TREATMENT_URBAN,,
28,WASO: Consumer food waste reduction,CE,TX:WASO:DEC_CONSUMER_FOOD_WASTE,Reduce the amount of food waste generated per capita,
29,WASO: Increase composting and biogas,CE,TX:WASO:INC_ANAEROBIC_AND_COMPOST,"Increase the fraction of yard, food, and sludge waste that is treated by anaerobic digesters or compost",
30,WASO: Increase biogas capture,CE,TX:WASO:INC_CAPTURE_BIOGAS,Increase fraction of biogas captured from landfills and anaerobic digesters,
31,WASO: Biogas for energy production,CE,TX:WASO:INC_ENERGY_FROM_BIOGAS,Increase the fraction of biogas that is collected that is used for energy,
32,WASO: Incineration for energy production,CE,TX:WASO:INC_ENERGY_FROM_INCINERATION,,
33,WASO: Increase landfilling,CE,TX:WASO:INC_LANDFILLING,"Increase fraction of waste that is otherwise untreated (i.e., post recycling, composting, etc.) that is sent to landfills",
34,WASO: Increase recycling,CE,TX:WASO:INC_RECYCLING,,
