Variable Type,Variable,Subsector Variable Code,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,Fraction Manure Management,``$CAT-MANURE-MANAGEMENT$``,IPCC Emissions Sector Codes,IPCC Equation Reference,Notes
Input,:math:`\text{CH}_4` Enteric Fermentation Emission Factor,ef_ch4_ef,"This represents emissions from enteric fermentation, primarily occuring in multigastric ruminant livestock (including buffalo, camels, cattle, goats, and sheep)","``ef_lvst_entferm_$CAT-LIVESTOCK$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-POPULATION$`` (``$EMISSION-GAS$ = ch4``, ``$UNIT-POPULATION$ = head``, ``$UNIT-MASS$ = kg``)",all,| `FAO Enteric Fermentation <https://www.fao.org/faostat/en/#data/GE (Enteric Fermentation/Emissions CH4)>`_,Subsector Variable Codeec,1,1,,0,0,none,,," | Default values taken from V4 C10, Table 10.10 (non cattle/buffalo livestock) and 10.11 (cattle and buffalo) of IPCC GNGHGI 2019R using a default mean between low and high productivity systems.
 | 
 | Uncertainty ranges set by using mean in conjunction with low productivity and high end ranges. Default ranges for no information were constrained relative to similar animal types."
Input,Animal Mass,animal_mass,Average mass of a single animal,``avgmass_lvst_animal_$CAT-LIVESTOCK$_$UNIT-MASS$`` (``$UNIT-MASS$ = kg``),all,,0,1,1,,0,0,none,,,
Input,Carrying Capacity Scalar,carrying_capacity_scalar,This scalar represents changes to the number of livestock/hectare. Advanced grazing techniques or pasture restoration could scale this.,``scalar_lvst_carrying_capacity``,none,,0,0.8,1.2,,0,0,none,,,
Input,Daily Feed to Mass Factor,factor_feed_to_mass," | Ratio of daily feed required to average mass of an animal. 
 | 
 | Used to allocate pastures and livestock feed crops; ed and estimate carrying capacity under the assumption that the distribution of livestock across grazelands is uniform, grasslands are homogenous, and that there is no mixed grazing (though this could be implemented as a policy parameter). ",``factor_lvst_daily_feed_consumed_to_mass_$CAT-LIVESTOCK$``,all,"Numbers in pounds from Table 5, `Holechek 1988 <https://journals.uair.arizona.edu/index.php/rangelands/article/download/10362/9633>`_. Estimated conversion of 2.2 lbs/kg used to estimate kg.",0,1,1,,0,0,none,,,
Input,Daily Nitrogen Generation Factor,genfactor_nitrogen,,``genfactor_lvst_daily_nitrogen_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,,," | Unitless weight factor that represents how much nitrogen is generated per weight of animal. Used to estimate :math:`Nex_{(T)}` in Equation 10.34 (V4C10 IPCC GNGHGI 2019R). 
 | 
 | See Table 10.19 for default factors."
Input,Daily Volatile Solid Generation Factor,genfactor_volatile_solids,"Daily generation rate, per animal weight, of equivalent volatile solids (manure). See V4, C10, Equation 22A (IPCC GNGHGI 2019R).",``genfactor_lvst_daily_volatile_solids_$CAT-LIVESTOCK$``,all,| See Table 10.13A in IPCC V4C10 Table 10.13A (mean values) for defaults,0,1,1,,0,0,none,,,
Input,Elasticity of Livestock Demand to GDP per Capita,elas_demand,Elasticity of meat/animal products demand to income; use GDP/Capita since there's a roughly linear relationship between income and gdp/capita,``elasticity_lvst_$CAT-LIVESTOCK$_demand_to_gdppc``,all,https://www.sciencedirect.com/science/article/pii/S0959378021001229#b0020,0,0.8,1.2,,0,0,none,,,Some validation of assumption that income and gdp/capita are linearly related: https://ourworldindata.org/grapher/median-daily-per-capita-expenditure-vs-gdp-per-capita
Input,Fraction Nitrogen Excretion in Dung,exc_n_in_dung,Fraction of nitrogen :math:`F_{N-DUNG}` excreted by livestock that's contained in dung. 1 - :math:`F_{N-DUNG}` is contained in urine.,``frac_lvst_n_in_dung``,none,,0,1,1,,0,0,none,,,
Input,Fraction of Livestock Demand Imported,frac_demand_imported," | Fraction of total demand for livestock products that is met by imports.
 | 
 | Conceptually, represented as the % of demand for total livestock that would be needed to produce all consumed animal products.",``frac_lvst_livestock_demand_imported_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,,,
Input,Initial Livestock Head Count,pop_init,Initial population of animal; note that only the first value (associated with t = 0) will be used. Future animal populations are estimated using demand elasticities from GDP/Capita.,``pop_lvst_initial_$CAT-LIVESTOCK$``,all,`FAO - Head Count <https://www.fao.org/faostat/en/#data/QCL (Crops and livestock products/stocks)>`_,0,1,1,,0,0,none,,,FAO: This variable indicates the number of animals of the species present in the country at the time of enumeration.
Input,Livestock Equivalent Exports,equivalent_exports,Exports of livestock equivalent products (head of livestock),``exports_lvst_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,,,
Input,Livestock Manure Management Fraction Anaerobic Digester,frac_mm_anaerobic_digester,,``frac_lvst_mm_$CAT-LIVESTOCK$_anaerobic_digester``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``anaerobic_digester``,,,| Default values taken from IPCC GNGHGI V4 Table 10A.6
Input,Livestock Manure Management Fraction Anaerobic Lagoon,frac_mm_anaerobic_lagoon,,``frac_lvst_mm_$CAT-LIVESTOCK$_anaerobic_lagoon``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``anaerobic_lagoon``,,,| Default values taken from IPCC GNGHGI V4 Table 10A.6
Input,Livestock Manure Management Fraction Composting,frac_mm_composting,,``frac_lvst_mm_$CAT-LIVESTOCK$_composting``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``composting``,,,| Default values taken from IPCC GNGHGI V4 Table 10A.6
Input,Livestock Manure Management Fraction Daily Spread,frac_mm_daily_spread,,``frac_lvst_mm_$CAT-LIVESTOCK$_daily_spread``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``daily_spread``,,,| Default values taken from IPCC GNGHGI V4 Table 10A.6
