strategy_id,strategy,strategy_code,baseline_strategy_id,Description
0,Baseline NDP,BASE,1,Base assumptions to which all transformations are applied
1001,AGRC: All transformations,AGRC:ALL,0,All agricultural transformations
1002,AGRC: All transformations with partial land use reallocation,AGRC:ALL_PLUR,0,All agricultural transformations
1003,AGRC: Decrease Exports,AGRC:DEC_EXPORTS,0,Decrease agricultural exports by 50% (relative to final time period)
1004,AGRC: Expand conservation agriculture,AGRC:INC_CONSERVATION_AGRICULTURE,0," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)"
1005,AGRC: Improve crop productivity,AGRC:INC_PRODUCTIVITY,0,Increase crop yield factors by 20%
1006,AGRC: Improve crop productivity with partial land use reallocation,AGRC:INC_PRODUCTIVITY_PLUR,0,
1007,AGRC: Improve rice management,AGRC:DEC_CH4_RICE,0,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.
1008,AGRC: Reduce supply chain losses,AGRC:DEC_LOSSES_SUPPLY_CHAIN,0,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer)
1009,AGRC: Reduce supply chain losses with partial land use reallocation,AGRC:DEC_LOSSES_SUPPLY_CHAIN_PLUR,0,
1010,FRST: Stop deforestation,FRST:DEC_DEFORESTATION,0,Halt deforestation of primary and secondary forests
1011,LNDU: Expand silvopasture,LNDU:INC_SILVOPASTURE,0,"Increase the use of silvopasture; modeled by shifting 30% of pasture (in final time period) to secondary forests over time; livestock carrying capacities increase to meet the change, while pasture fractions of grassland decrease."
1012,LNDU: Expand silvopasture with partial land use reallocation,LNDU:INC_SILVOPASTURE_PLUR,0,"Increase the use of silvopasture; modeled by shifting 30% of pasture (in final time period) to secondary forests over time; livestock carrying capacities increase to meet the change, while pasture fractions of grassland decrease."
1013,LNDU: Expand sustainable grazing practices,LNDU:INC_SUSTAINABLE_GRAZING,0," | Decrease soil organic carbon loss in grasslands through sustainable grazing practices
 | 
 | **Grasslands**: Increase :math:`F_{MG}` for ``grasslands`` to 1.157 (see V4, Chapter 6, Table 6.2 [2019R] for grasslands management factors :math:`F_{MG}` under different management regimes--mean of *Improved Grassland*)"
