transformer_kernel_id,transformer_kernel,sector,transformer_kernel_code,description,description_long,units_description,citations,variables_affected,requires_fp_model_for_full_effect,requires_fp_model_for_primary_effect,description_of_fp_model_interaction
0,Baseline,AA - BASE,TFR:BASE,"Baseline transformation, which is applied to raw input data",Description here,"The base LURF can be set here and in the baseline config, as well as other adjustments to the baseline.",,,0,0,
1,AGRC: Improve rice management,AF,TFR:AGRC:DEC_CH4_RICE,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,,Fractional reduction in methane emitted from rice production,,,0,0,
2,AGRC: Decrease demand for unhealthy crops,AF,TFR:AGRC:DEC_DEMAND_FOR_UNHEALTHY_CROPS,Reduction in demand for specified crops; the default is sugarcane.,,Fractional reduction for specified crops,,,1,0,"Changing crop demands will shift production, which affects energy demands. While this is not the primary affect of the transformation, quantifying the full effect requires running the fuel production model. "
3,AGRC: Decrease Exports,AF,TFR:AGRC:DEC_EXPORTS,Decrease agricultural exports by 50% (relative to final time period),,Fractional reduction in agricultural exports,,,1,0,"Changing crop exports will shift production, which affects energy demands. While this is not the primary affect of the transformation, quantifying the full effect requires running the fuel production model. "
4,AGRC: Reduce supply chain losses,AF,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),,Fractional reduction in food waste in supply chain,,,1,0,"Reducing crop waste affects total crop production, which affects energy demands. While this is not the primary affect of the transformation, quantifying the full effect requires running the fuel production model. "
5,AGRC: Expand conservation agriculture,AF,TFR:AGRC:INC_CONSERVATION_AGRICULTURE," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",,Fraction of crop classes that adopt conservation agriculture (per crop specified),,,0,0,
6,AGRC: Improve crop productivity,AF,TFR:AGRC:INC_PRODUCTIVITY,Increase crop yield factors by 20%,,Fractional increase in crop productivity (mass/area),,,1,0,"Changing crop productivity can affect total production, which affects energy demands. While this is not the primary affect of the transformation, quantifying the full effect requires running the fuel production model. "
7,AGRC: Target residue management,AF,TFR:AGRC:TARGET_RESIDUE_MANAGEMENT,Specify fractional targets for residue removals for applicable crops. Residues can be used as a source of energy (offsetting biomass fuelwood demands in ENTC); as a pool for livestock feed (sent to LDE); burned; or left on field (which can contribute to conservation agriculture).,,"Fractional of residues to target pathway; can be specified by crop. Can also flag conservation agriculture as an inclusionn, which requires that at least 30% of residues are left on the field.",,,1,1,"Residues play an important role in agriculture-energy systems. If the fraction made available for energy use increases, it will affect emissions in energy technology. Thus, depending on how residue management pathways are specified, quantifying the full effect may require running the fuel production model. "
8,FRST: Increase Sequestration,AF,TFR:FRST:INCREASE_SEQUESTRATION,Increase annual sequestration in forests ,,Fractional increase in sequestration. Negative numbers can be used to reduce it.,,,0,0,
9,FRST: Increase Deadwood Removals,AF,TFR:FRST:TARGET_REMOVALS_DW,"Set a target fraction deadwood generated that is removed to satisfy removal demands. Note that this may have effects on biodiversity, forest health, and soil carbon stocks.",,Target fraction of deadwood removed. Must be between 0 and 1.,,,1,0,"Increasing deadwood removals can increase the availability of fuelwood for energy. This is unlikely to significantly affect the magnitude of emissions in the fuel production model (primary effect), it could, and the full affect likely requires running the fuel production model. "
10,LNDU: Bound Classes,AF,TFR:LNDU:BOUND_CLASSES,Land use classes are estimated using a transition matrix and ajdusted using a quadratic program. This transformation can be used to set upper and lower bounds on transitionable land use classes. This transformation can be used to represent the addition of protected areas through the use of a minimum bound OR the prevention of additional growth through the maxium bound.,,"Areas of land to bound by class (in variable ""Maximum Area"" and ""Minimum Area"" units)",,,0,0,
11,LNDU: Decrease loss of land use classes,AF,TFR:LNDU:DEC_CLASS_LOSS,"Halt loss of a specified land use class; similarly to DEC_DEFORESTATION, it increases the probability of a class transitioning into itself. The DEC_DEFORESTATION transformer, however, prevents multiple classes from transitioning out. ",,Target transition probability for land use class remaining that class (closer to 1 means less loss),,,1,0,"Reducing losses of land use classes can affect crop and livestock production and forest conversion, which can affect energy demands and fuelwood supplies. While this is not the primary affect of the transformation, quantifying the full effect requires running the fuel production model. "
12,LNDU: Stop deforestation,AF,TFR:LNDU:DEC_DEFORESTATION,Halt deforestation of primary and secondary forests,,Target transition probability for forest classes remaining that class (closer to 1 means less loss),,,1,0,"Reducing losses of land use classes can affect crop and livestock production and forest conversion, which can affect energy demands and fuelwood supplies. While this is not the primary affect of the transformation, quantifying the full effect requires running the fuel production model. "
